pos,name,event_id,wca_id,average_seconds
11,Luke Garrett,333,2017GARR05,6.53
41,Luke Garrett,333,2017GARR05,7.57
3,Luke Garrett,333,2017GARR05,6.1
6,Luke Garrett,333,2017GARR05,6.36
1,Luke Garrett,333,2017GARR05,5.85
1,Luke Garrett,333,2017GARR05,6.41
1,Luke Garrett,333,2017GARR05,6.61
1,Luke Garrett,333,2017GARR05,7.04
1,Luke Garrett,333,2017GARR05,5.38
1,Luke Garrett,333,2017GARR05,6.1
1,Luke Garrett,333,2017GARR05,5.88
6,Luke Garrett,333,2017GARR05,7.74
2,Luke Garrett,333,2017GARR05,6.07
2,Luke Garrett,333,2017GARR05,6.74
1,Luke Garrett,333,2017GARR05,5.38
2,Luke Garrett,333,2017GARR05,5.77
2,Luke Garrett,333,2017GARR05,5.9
2,Luke Garrett,333,2017GARR05,6.33
1,Luke Garrett,333,2017GARR05,6.17
1,Luke Garrett,333,2017GARR05,6.23
1,Luke Garrett,333,2017GARR05,5.48
1,Luke Garrett,333,2017GARR05,6.26
1,Luke Garrett,333,2017GARR05,6.33
1,Luke Garrett,333,2017GARR05,7.21
1,Luke Garrett,333,2017GARR05,6.08
1,Luke Garrett,333,2017GARR05,5.8
2,Luke Garrett,333,2017GARR05,6.23
1,Luke Garrett,333,2017GARR05,5.64
1,Luke Garrett,333,2017GARR05,5.41
1,Luke Garrett,333,2017GARR05,5.69
2,Luke Garrett,333,2017GARR05,6.88
2,Luke Garrett,333,2017GARR05,6.79
1,Luke Garrett,333,2017GARR05,6.15
1,Luke Garrett,333,2017GARR05,4.94
1,Luke Garrett,333,2017GARR05,5.7
1,Luke Garrett,333,2017GARR05,6.44
1,Luke Garrett,333,2017GARR05,5.91
1,Luke Garrett,333,2017GARR05,5.59
2,Luke Garrett,333,2017GARR05,6.39
1,Luke Garrett,333,2017GARR05,5.72
1,Luke Garrett,333,2017GARR05,5.63
2,Luke Garrett,333,2017GARR05,6.57
2,Luke Garrett,333,2017GARR05,6.01
1,Luke Garrett,333,2017GARR05,6.16
2,Luke Garrett,333,2017GARR05,5.99
2,Luke Garrett,333,2017GARR05,6.74
1,Luke Garrett,333,2017GARR05,6.65
1,Luke Garrett,333,2017GARR05,5.53
1,Luke Garrett,333,2017GARR05,5.77
2,Luke Garrett,333,2017GARR05,7.13
1,Luke Garrett,333,2017GARR05,5.92
1,Luke Garrett,333,2017GARR05,5.12
1,Luke Garrett,333,2017GARR05,6.94
1,Luke Garrett,333,2017GARR05,5.72
1,Luke Garrett,333,2017GARR05,5.83
1,Luke Garrett,333,2017GARR05,6.16
1,Luke Garrett,333,2017GARR05,5.79
2,Luke Garrett,333,2017GARR05,6.36
1,Luke Garrett,333,2017GARR05,5.98
2,Luke Garrett,333,2017GARR05,6.41
2,Luke Garrett,333,2017GARR05,6.74
2,Luke Garrett,333,2017GARR05,6.24
2,Luke Garrett,333,2017GARR05,6.24
1,Luke Garrett,333,2017GARR05,6.31
1,Luke Garrett,333,2017GARR05,5.73
1,Luke Garrett,333,2017GARR05,5.96
1,Luke Garrett,333,2017GARR05,6.31
1,Luke Garrett,333,2017GARR05,6.05
1,Luke Garrett,333,2017GARR05,6.13
1,Luke Garrett,333,2017GARR05,6.15
2,Luke Garrett,333,2017GARR05,7.1
1,Luke Garrett,333,2017GARR05,6.17
1,Luke Garrett,333,2017GARR05,5.83
1,Luke Garrett,333,2017GARR05,5.7
1,Luke Garrett,333,2017GARR05,7.42
1,Luke Garrett,333,2017GARR05,5.86
1,Luke Garrett,333,2017GARR05,6.31
1,Luke Garrett,333,2017GARR05,7.09
1,Luke Garrett,333,2017GARR05,6.69
1,Luke Garrett,333,2017GARR05,6.22
1,Luke Garrett,333,2017GARR05,6.51
1,Luke Garrett,333,2017GARR05,5.9
2,Luke Garrett,333,2017GARR05,6.9
2,Luke Garrett,333,2017GARR05,6.63
1,Luke Garrett,333,2017GARR05,5.81
1,Luke Garrett,333,2017GARR05,6.61
1,Luke Garrett,333,2017GARR05,6.42
1,Luke Garrett,333,2017GARR05,6.56
1,Luke Garrett,333,2017GARR05,5.66
1,Luke Garrett,333,2017GARR05,5.6
3,Luke Garrett,333,2017GARR05,6.53
7,Luke Garrett,333,2017GARR05,6.76
3,Luke Garrett,333,2017GARR05,5.56
1,Luke Garrett,333,2017GARR05,6.19
1,Luke Garrett,333,2017GARR05,6.27
1,Luke Garrett,333,2017GARR05,5.45
1,Matty Hiroto Inaba,333,2016INAB01,5.33
1,Matty Hiroto Inaba,333,2016INAB01,5.6
1,Matty Hiroto Inaba,333,2016INAB01,5.41
2,Matty Hiroto Inaba,333,2016INAB01,6.08
1,Matty Hiroto Inaba,333,2016INAB01,5.89
1,Matty Hiroto Inaba,333,2016INAB01,5.86
1,Matty Hiroto Inaba,333,2016INAB01,6.24
1,Matty Hiroto Inaba,333,2016INAB01,5.1
1,Matty Hiroto Inaba,333,2016INAB01,5.8
2,Matty Hiroto Inaba,333,2016INAB01,6.41
1,Matty Hiroto Inaba,333,2016INAB01,5.56
2,Matty Hiroto Inaba,333,2016INAB01,6.61
1,Matty Hiroto Inaba,333,2016INAB01,6.71
1,Matty Hiroto Inaba,333,2016INAB01,5.51
1,Matty Hiroto Inaba,333,2016INAB01,5.68
1,Matty Hiroto Inaba,333,2016INAB01,5.19
1,Matty Hiroto Inaba,333,2016INAB01,5.55
1,Matty Hiroto Inaba,333,2016INAB01,5.5
1,Matty Hiroto Inaba,333,2016INAB01,5.78
3,Matty Hiroto Inaba,333,2016INAB01,7.1
1,Matty Hiroto Inaba,333,2016INAB01,5.38
1,Matty Hiroto Inaba,333,2016INAB01,5.69
1,Matty Hiroto Inaba,333,2016INAB01,5.51
1,Matty Hiroto Inaba,333,2016INAB01,5.95
1,Matty Hiroto Inaba,333,2016INAB01,5.14
1,Matty Hiroto Inaba,333,2016INAB01,5.53
1,Matty Hiroto Inaba,333,2016INAB01,5.36
7,Matty Hiroto Inaba,333,2016INAB01,6.55
4,Matty Hiroto Inaba,333,2016INAB01,5.88
2,Matty Hiroto Inaba,333,2016INAB01,5.35
6,Matty Hiroto Inaba,333,2016INAB01,5.91
5,Matty Hiroto Inaba,333,2016INAB01,5.95
6,Matty Hiroto Inaba,333,2016INAB01,6.39
4,Matty Hiroto Inaba,333,2016INAB01,6.19
1,Matty Hiroto Inaba,333,2016INAB01,5.89
1,Matty Hiroto Inaba,333,2016INAB01,5.11
2,Matty Hiroto Inaba,333,2016INAB01,6.45
1,Matty Hiroto Inaba,333,2016INAB01,6.08
1,Matty Hiroto Inaba,333,2016INAB01,6.18
1,Matty Hiroto Inaba,333,2016INAB01,5.93
1,Matty Hiroto Inaba,333,2016INAB01,6.27
1,Matty Hiroto Inaba,333,2016INAB01,6.27
1,Matty Hiroto Inaba,333,2016INAB01,5.87
1,Matty Hiroto Inaba,333,2016INAB01,5.3
1,Matty Hiroto Inaba,333,2016INAB01,5.83
1,Matty Hiroto Inaba,333,2016INAB01,6.73
1,Matty Hiroto Inaba,333,2016INAB01,5.66
1,Matty Hiroto Inaba,333,2016INAB01,5.06
1,Matty Hiroto Inaba,333,2016INAB01,5.79
1,Matty Hiroto Inaba,333,2016INAB01,5.23
1,Matty Hiroto Inaba,333,2016INAB01,6.6
1,Max Park,333,2012PARK03,5.92
1,Max Park,333,2012PARK03,5.51
1,Max Park,333,2012PARK03,5.28
1,Max Park,333,2012PARK03,5.68
1,Max Park,333,2012PARK03,5.68
1,Max Park,333,2012PARK03,6.57
1,Max Park,333,2012PARK03,5.92
1,Max Park,333,2012PARK03,5.67
1,Max Park,333,2012PARK03,5.84
1,Max Park,333,2012PARK03,6.02
1,Max Park,333,2012PARK03,5.74
1,Max Park,333,2012PARK03,5.41
1,Max Park,333,2012PARK03,5.43
1,Max Park,333,2012PARK03,5.42
1,Max Park,333,2012PARK03,5.43
1,Max Park,333,2012PARK03,5.9
2,Max Park,333,2012PARK03,5.35
4,Max Park,333,2012PARK03,5.88
2,Max Park,333,2012PARK03,5.66
2,Max Park,333,2012PARK03,5.69
1,Max Park,333,2012PARK03,5.49
1,Max Park,333,2012PARK03,6.11
1,Max Park,333,2012PARK03,5.3
1,Max Park,333,2012PARK03,6.45
1,Max Park,333,2012PARK03,5.96
1,Max Park,333,2012PARK03,6.04
1,Max Park,333,2012PARK03,5.45
1,Max Park,333,2012PARK03,5.84
1,Max Park,333,2012PARK03,5.49
1,Max Park,333,2012PARK03,5.75
1,Max Park,333,2012PARK03,5.62
1,Max Park,333,2012PARK03,5.75
1,Max Park,333,2012PARK03,5.8
1,Max Park,333,2012PARK03,5.9
1,Max Park,333,2012PARK03,5.76
1,Max Park,333,2012PARK03,5.88
1,Max Park,333,2012PARK03,6.24
1,Max Park,333,2012PARK03,5.59
1,Max Park,333,2012PARK03,6.48
1,Max Park,333,2012PARK03,6.33
1,Max Park,333,2012PARK03,5.11
1,Max Park,333,2012PARK03,5.47
1,Max Park,333,2012PARK03,5.34
1,Max Park,333,2012PARK03,6.22
1,Max Park,333,2012PARK03,5.94
1,Max Park,333,2012PARK03,5.88
1,Max Park,333,2012PARK03,5.63
1,Max Park,333,2012PARK03,5.25
1,Max Park,333,2012PARK03,5.4
1,Max Park,333,2012PARK03,5.41
1,Max Park,333,2012PARK03,6.07
1,Max Park,333,2012PARK03,5.61
1,Max Park,333,2012PARK03,5.43
1,Max Park,333,2012PARK03,5.05
1,Max Park,333,2012PARK03,5.56
1,Max Park,333,2012PARK03,5.4
1,Max Park,333,2012PARK03,5.8
1,Max Park,333,2012PARK03,5.82
1,Max Park,333,2012PARK03,5.03
1,Max Park,333,2012PARK03,5.58
1,Max Park,333,2012PARK03,6.04
1,Max Park,333,2012PARK03,6.24
1,Max Park,333,2012PARK03,6.06
1,Max Park,333,2012PARK03,5.27
1,Max Park,333,2012PARK03,5.93
1,Max Park,333,2012PARK03,5.3
1,Max Park,333,2012PARK03,5.6
1,Max Park,333,2012PARK03,5.23
1,Max Park,333,2012PARK03,5.49
1,Max Park,333,2012PARK03,5.73
1,Max Park,333,2012PARK03,5.69
1,Max Park,333,2012PARK03,5.72
1,Max Park,333,2012PARK03,5.18
6,Ruihang Xu (许瑞航),333,2017XURU04,7.39
1,Ruihang Xu (许瑞航),333,2017XURU04,4.84
1,Ruihang Xu (许瑞航),333,2017XURU04,5.74
3,Ruihang Xu (许瑞航),333,2017XURU04,5.85
2,Ruihang Xu (许瑞航),333,2017XURU04,5.41
1,Ruihang Xu (许瑞航),333,2017XURU04,5.54
3,Ruihang Xu (许瑞航),333,2017XURU04,5.53
3,Ruihang Xu (许瑞航),333,2017XURU04,4.92
2,Ruihang Xu (许瑞航),333,2017XURU04,5.33
4,Ruihang Xu (许瑞航),333,2017XURU04,5.56
1,Ruihang Xu (许瑞航),333,2017XURU04,5.59
1,Ruihang Xu (许瑞航),333,2017XURU04,5.82
1,Ruihang Xu (许瑞航),333,2017XURU04,5.27
1,Ruihang Xu (许瑞航),333,2017XURU04,5.38
4,Ruihang Xu (许瑞航),333,2017XURU04,5.11
1,Ruihang Xu (许瑞航),333,2017XURU04,5.03
8,Ruihang Xu (许瑞航),333,2017XURU04,6.13
8,Ruihang Xu (许瑞航),333,2017XURU04,5.83
3,Ruihang Xu (许瑞航),333,2017XURU04,5.11
9,Ruihang Xu (许瑞航),333,2017XURU04,6.36
3,Ruihang Xu (许瑞航),333,2017XURU04,5.3
2,Ruihang Xu (许瑞航),333,2017XURU04,4.94
5,Ruihang Xu (许瑞航),333,2017XURU04,6.06
4,Ruihang Xu (许瑞航),333,2017XURU04,5.27
4,Ruihang Xu (许瑞航),333,2017XURU04,5.54
6,Ruihang Xu (许瑞航),333,2017XURU04,6.2
3,Ruihang Xu (许瑞航),333,2017XURU04,5.21
3,Ruihang Xu (许瑞航),333,2017XURU04,5.46
2,Ruihang Xu (许瑞航),333,2017XURU04,4.91
4,Ruihang Xu (许瑞航),333,2017XURU04,5.4
3,Ruihang Xu (许瑞航),333,2017XURU04,5.15
3,Teodor Zajder,333,2021ZAJD03,7.92
3,Teodor Zajder,333,2021ZAJD03,8.25
3,Teodor Zajder,333,2021ZAJD03,7.79
2,Teodor Zajder,333,2021ZAJD03,7.5
2,Teodor Zajder,333,2021ZAJD03,7.35
1,Teodor Zajder,333,2021ZAJD03,7.12
1,Teodor Zajder,333,2021ZAJD03,6.38
1,Teodor Zajder,333,2021ZAJD03,6.11
1,Teodor Zajder,333,2021ZAJD03,6.92
2,Teodor Zajder,333,2021ZAJD03,6.81
1,Teodor Zajder,333,2021ZAJD03,6.7
3,Teodor Zajder,333,2021ZAJD03,6.63
3,Teodor Zajder,333,2021ZAJD03,7.05
2,Teodor Zajder,333,2021ZAJD03,6.66
2,Teodor Zajder,333,2021ZAJD03,7.65
2,Teodor Zajder,333,2021ZAJD03,6.65
1,Teodor Zajder,333,2021ZAJD03,6.17
4,Teodor Zajder,333,2021ZAJD03,7.68
1,Teodor Zajder,333,2021ZAJD03,6.0
3,Teodor Zajder,333,2021ZAJD03,6.99
4,Teodor Zajder,333,2021ZAJD03,7.96
4,Teodor Zajder,333,2021ZAJD03,7.16
1,Teodor Zajder,333,2021ZAJD03,6.84
2,Teodor Zajder,333,2021ZAJD03,7.17
2,Teodor Zajder,333,2021ZAJD03,7.05
9,Teodor Zajder,333,2021ZAJD03,7.99
4,Teodor Zajder,333,2021ZAJD03,7.85
2,Teodor Zajder,333,2021ZAJD03,5.94
12,Teodor Zajder,333,2021ZAJD03,8.94
3,Teodor Zajder,333,2021ZAJD03,7.48
4,Teodor Zajder,333,2021ZAJD03,7.39
3,Teodor Zajder,333,2021ZAJD03,7.11
5,Teodor Zajder,333,2021ZAJD03,7.49
6,Teodor Zajder,333,2021ZAJD03,7.73
37,Teodor Zajder,333,2021ZAJD03,7.43
27,Teodor Zajder,333,2021ZAJD03,7.26
4,Teodor Zajder,333,2021ZAJD03,6.24
14,Teodor Zajder,333,2021ZAJD03,6.66
4,Teodor Zajder,333,2021ZAJD03,7.51
3,Teodor Zajder,333,2021ZAJD03,6.82
2,Teodor Zajder,333,2021ZAJD03,6.3
1,Teodor Zajder,333,2021ZAJD03,6.54
5,Teodor Zajder,333,2021ZAJD03,8.03
2,Teodor Zajder,333,2021ZAJD03,7.07
2,Teodor Zajder,333,2021ZAJD03,6.65
4,Teodor Zajder,333,2021ZAJD03,7.11
3,Teodor Zajder,333,2021ZAJD03,6.22
1,Teodor Zajder,333,2021ZAJD03,6.6
3,Teodor Zajder,333,2021ZAJD03,6.42
1,Teodor Zajder,333,2021ZAJD03,6.04
3,Teodor Zajder,333,2021ZAJD03,7.04
3,Teodor Zajder,333,2021ZAJD03,6.95
2,Teodor Zajder,333,2021ZAJD03,6.53
1,Teodor Zajder,333,2021ZAJD03,5.62
2,Teodor Zajder,333,2021ZAJD03,6.41
4,Teodor Zajder,333,2021ZAJD03,7.12
2,Teodor Zajder,333,2021ZAJD03,6.82
2,Teodor Zajder,333,2021ZAJD03,6.05
2,Teodor Zajder,333,2021ZAJD03,6.48
1,Teodor Zajder,333,2021ZAJD03,6.29
1,Teodor Zajder,333,2021ZAJD03,5.96
7,Teodor Zajder,333,2021ZAJD03,6.71
13,Teodor Zajder,333,2021ZAJD03,7.54
3,Teodor Zajder,333,2021ZAJD03,6.19
2,Teodor Zajder,333,2021ZAJD03,6.39
1,Teodor Zajder,333,2021ZAJD03,5.8
1,Teodor Zajder,333,2021ZAJD03,5.64
1,Teodor Zajder,333,2021ZAJD03,5.91
2,Teodor Zajder,333,2021ZAJD03,7.24
1,Teodor Zajder,333,2021ZAJD03,6.23
2,Teodor Zajder,333,2021ZAJD03,5.84
2,Teodor Zajder,333,2021ZAJD03,5.51
2,Teodor Zajder,333,2021ZAJD03,6.4
1,Teodor Zajder,333,2021ZAJD03,6.94
1,Teodor Zajder,333,2021ZAJD03,6.1
1,Teodor Zajder,333,2021ZAJD03,6.27
2,Teodor Zajder,333,2021ZAJD03,6.22
2,Teodor Zajder,333,2021ZAJD03,6.1
1,Teodor Zajder,333,2021ZAJD03,6.34
1,Teodor Zajder,333,2021ZAJD03,5.89
1,Teodor Zajder,333,2021ZAJD03,5.52
2,Teodor Zajder,333,2021ZAJD03,6.31
1,Teodor Zajder,333,2021ZAJD03,5.52
1,Teodor Zajder,333,2021ZAJD03,5.75
1,Teodor Zajder,333,2021ZAJD03,5.7
1,Teodor Zajder,333,2021ZAJD03,5.17
1,Teodor Zajder,333,2021ZAJD03,5.61
1,Teodor Zajder,333,2021ZAJD03,5.67
1,Teodor Zajder,333,2021ZAJD03,6.06
1,Teodor Zajder,333,2021ZAJD03,5.98
2,Teodor Zajder,333,2021ZAJD03,5.92
1,Teodor Zajder,333,2021ZAJD03,5.62
1,Teodor Zajder,333,2021ZAJD03,5.76
1,Teodor Zajder,333,2021ZAJD03,5.77
1,Teodor Zajder,333,2021ZAJD03,4.86
1,Teodor Zajder,333,2021ZAJD03,5.09
4,Teodor Zajder,333,2021ZAJD03,6.6
2,Teodor Zajder,333,2021ZAJD03,5.89
2,Teodor Zajder,333,2021ZAJD03,6.09
2,Teodor Zajder,333,2021ZAJD03,6.68
2,Teodor Zajder,333,2021ZAJD03,5.97
2,Teodor Zajder,333,2021ZAJD03,5.94
3,Teodor Zajder,333,2021ZAJD03,6.22
3,Teodor Zajder,333,2021ZAJD03,5.96
1,Tymon Kolasiński,333,2016KOLA02,5.77
1,Tymon Kolasiński,333,2016KOLA02,5.1
1,Tymon Kolasiński,333,2016KOLA02,5.1
1,Tymon Kolasiński,333,2016KOLA02,5.8
1,Tymon Kolasiński,333,2016KOLA02,5.56
1,Tymon Kolasiński,333,2016KOLA02,5.3
1,Tymon Kolasiński,333,2016KOLA02,5.53
1,Tymon Kolasiński,333,2016KOLA02,5.51
1,Tymon Kolasiński,333,2016KOLA02,5.28
1,Tymon Kolasiński,333,2016KOLA02,5.73
1,Tymon Kolasiński,333,2016KOLA02,5.81
1,Tymon Kolasiński,333,2016KOLA02,5.41
1,Tymon Kolasiński,333,2016KOLA02,6.24
1,Tymon Kolasiński,333,2016KOLA02,5.51
1,Tymon Kolasiński,333,2016KOLA02,5.38
1,Tymon Kolasiński,333,2016KOLA02,6.0
1,Tymon Kolasiński,333,2016KOLA02,5.77
1,Tymon Kolasiński,333,2016KOLA02,5.16
2,Tymon Kolasiński,333,2016KOLA02,5.68
2,Tymon Kolasiński,333,2016KOLA02,5.66
1,Tymon Kolasiński,333,2016KOLA02,5.22
1,Tymon Kolasiński,333,2016KOLA02,4.84
1,Tymon Kolasiński,333,2016KOLA02,5.09
1,Tymon Kolasiński,333,2016KOLA02,5.15
1,Tymon Kolasiński,333,2016KOLA02,5.03
1,Tymon Kolasiński,333,2016KOLA02,4.97
1,Tymon Kolasiński,333,2016KOLA02,5.54
1,Tymon Kolasiński,333,2016KOLA02,5.34
3,Xuanyi Geng (耿暄一),333,2023GENG02,5.63
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.52
4,Xuanyi Geng (耿暄一),333,2023GENG02,5.63
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.54
3,Xuanyi Geng (耿暄一),333,2023GENG02,5.93
3,Xuanyi Geng (耿暄一),333,2023GENG02,6.21
